Hora;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1:00;1802,56;1272,00;1333,60;1122,80;947,80;1160,96;1250,00;1582,00;1783,68;2105,68;2066,64;1973,92
2:00;1505,84;1009,30;1114,32;976,50;865,80;1127,04;1224,56;1541,68;1703,44;1969,04;1830,88;1680,56
3:00;1173,68;783,60;861,70;853,50;825,40;1046,48;1144,00;1461,20;1622,32;1821,44;1649,20;1382,00
4:00;882,20;586,36;741,80;821,60;806,40;1071,92;1190,64;1448,00;1599,92;1722,32;1483,44;1152,48
5:00;618,22;403,00;558,04;715,20;749,40;1025,70;1148,24;1399,60;1505,84;1577,52;1272,00;902,70
6:00;385,00;253,90;442,00;639,46;703,80;984,70;1114,32;1360,00;1434,80;1452,40;1080,40;665,80
7:00;258,50;178,80;325,00;604,06;707,60;927,30;1071,92;1329,20;1386,40;1368,80;1013,40;526,18
8:00;212,50;158,08;258,50;487,24;628,84;976,50;1110,08;1390,80;1338,00;1338,00;980,60;476,62
9:00;219,40;159,56;258,50;508,48;621,76;927,30;1046,48;1307,20;1289,60;1316,00;1013,40;543,88
10:00;279,20;192,12;334,00;607,60;650,60;1005,20;1101,60;1355,60;1364,40;1412,80;1122,80;662,00
11:00;370,00;251,60;451,00;738,00;757,00;906,80;1114,32;1404,00;1430,40;1541,68;1302,80;802,60
12:00;547,42;340,00;572,20;869,90;935,50;1105,84;1173,68;1483,44;1541,68;1685,04;1470,00;1059,20
13:00;703,80;445,00;700,00;1005,20;1071,92;1165,20;1220,32;1559,60;1667,12;1793,12;1649,20;1245,76
14:00;919,10;593,44;878,10;1114,32;1042,24;1280,80;1324,80;1649,20;1783,68;1896,96;1774,24;1492,40
15:00;1190,64;787,40;1009,30;1177,92;1139,76;1216,08;1307,20;1685,04;1854,48;2003,20;1944,64;1745,92
16:00;1519,28;1033,90;1285,20;1364,40;1182,16;1346,80;1395,20;1727,04;1959,28;2164,24;2234,24;2052,00
17:00;1868,64;1320,40;1501,36;1452,40;1199,12;1338,00;1395,20;1736,48;2037,36;2284,44;2440,30;2329,62
18:00;2204,12;1622,32;1676,08;1532,72;1237,28;1382,00;1448,00;1764,80;1906,40;2319,58;2593,30;2572,90
19:00;2414,96;1736,48;1778,96;1519,28;1190,64;1478,96;1541,68;1849,76;2105,68;2430,10;2680,00;2659,60
20:00;2547,40;1901,68;1873,36;1532,72;1156,72;1426,00;1523,76;1835,60;2144,72;2537,20;2729,92;2706,88
21:00;2557,60;1920,56;1807,28;1452,40;1122,80;1364,40;1456,80;1816,72;2105,68;2491,30;2691,52;2703,04
22:00;2486,20;1830,88;1736,48;1399,60;1093,12;1368,80;1470,00;1788,40;2110,56;2496,40;2598,40;2542,30
23:00;2304,52;1689,52;1626,80;1320,40;1059,20;1342,40;1426,00;1845,04;2012,96;2399,90;2460,70;2414,96
0:00;2081,28;1501,36;1443,60;1148,24;964,20;1203,36;1320,40;1653,68;1896,96;2229,22;2229,22;2194,08
