Hora;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1:00;1678,20;1075,00;1145,00;913,80;746,00;954,66;1050,00;1415,50;1652,60;2087,88;2035,24;1910,22
2:00;1336,96;798,50;904,72;770,50;676,00;918,34;1022,76;1373,92;1543,80;1903,64;1716,60;1517,14
3:00;968,28;603,54;672,50;665,50;641,16;832,08;936,50;1290,00;1457,08;1703,80;1484,80;1200,00
4:00;690,00;431,56;565,92;637,74;624,06;859,32;986,44;1275,00;1433,98;1569,40;1313,86;945,58
5:00;457,12;282,92;408,84;541,98;572,76;812,50;941,04;1220,00;1336,96;1410,88;1075,00;707,50
6:00;268,04;134,86;315,16;474,16;531,72;777,50;904,72;1175,00;1260,00;1280,00;868,40;497,52
7:00;140,50;49,00;218,44;445,76;535,14;728,50;859,32;1140,00;1205,00;1185,00;802,00;383,28
8:00;84,10;29,40;140,50;352,04;465,64;770,50;900,18;1210,00;1150,00;1150,00;774,00;343,52
9:00;92,56;30,80;140,50;369,08;459,96;728,50;832,08;1115,00;1095,00;1125,00;802,00;397,48
10:00;165,88;61,60;225,88;448,60;483,84;795,00;891,10;1170,00;1180,00;1235,00;913,80;494,10
11:00;255,64;132,04;322,60;562,50;579,60;711,00;904,72;1225,00;1255,00;1373,92;1110,00;620,64
12:00;400,32;230,84;420,20;679,50;735,50;895,64;968,28;1313,86;1373,92;1521,76;1300,00;845,70
13:00;531,72;317,64;528,30;795,00;859,32;959,20;1018,22;1392,40;1503,28;1665,40;1484,80;1045,46
14:00;721,50;437,24;686,50;904,72;827,54;1085,00;1135,00;1484,80;1652,60;1806,20;1639,80;1323,10
15:00;986,44;606,96;798,50;972,82;931,96;1013,68;1115,00;1521,76;1748,60;1949,70;1870,74;1601,40
16:00;1350,82;819,50;1090,00;1180,00;977,36;1160,00;1215,00;1575,80;1890,48;2166,84;2266,40;2015,50
17:00;1767,80;1130,00;1332,34;1280,00;995,52;1150,00;1215,00;1588,60;1995,76;2338,40;2567,60;2403,20
18:00;2223,20;1457,08;1512,52;1364,68;1036,38;1200,00;1275,00;1627,00;1819,00;2388,80;2843,60;2806,80
19:00;2525,60;1588,60;1646,20;1350,82;986,44;1309,24;1373,92;1742,20;2087,88;2549,20;3000,00;2963,20
20:00;2760,80;1812,60;1774,20;1364,68;950,12;1250,00;1355,44;1723,00;2140,52;2742,40;3107,90;3058,10
21:00;2779,20;1838,20;1684,60;1280,00;913,80;1180,00;1285,00;1697,40;2087,88;2659,60;3024,90;3049,80
22:00;2650,40;1716,60;1588,60;1220,00;882,02;1185,00;1300,00;1659,00;2094,46;2668,80;2852,80;2751,60
23:00;2367,20;1526,38;1461,70;1130,00;845,70;1155,00;1250,00;1735,80;1962,86;2504,00;2604,40;2525,60
0:00;2054,98;1332,34;1270,00;941,04;760,00;1000,06;1130,00;1489,42;1806,20;2259,20;2259,20;2208,80
